,TP9,AF7,AF8,TP10,Right AUX,timestamps
338,26.367,-10.254,-18.066,659.180,0.000,1737549844.721
339,-32.227,-14.648,-25.879,-367.188,0.000,1737549844.725
340,-53.223,-42.969,-29.785,-964.844,0.000,1737549844.728
341,-10.254,-24.414,-10.254,-87.402,0.000,1737549844.732
342,56.152,10.254,10.254,822.266,0.000,1737549844.736
343,64.941,4.883,9.766,949.219,0.000,1737549844.739
344,-13.184,-12.695,-3.906,151.855,0.000,1737549844.743
345,-67.871,-15.137,-29.785,-711.426,0.000,1737549844.747
346,-41.992,-10.254,-31.738,-224.609,0.000,1737549844.751
347,3.418,-29.785,-26.367,720.703,0.000,1737549844.754
348,35.645,-50.293,-32.715,999.512,0.000,1737549844.760
349,-2.930,-29.785,-28.809,269.043,0.000,1737549844.763
350,-84.961,-4.395,-28.320,-660.156,0.000,1737549844.767
351,-56.152,-2.441,-21.973,-141.113,0.000,1737549844.771
352,-0.977,-6.836,-4.395,780.762,0.000,1737549844.774
353,20.020,-8.301,-5.859,999.512,0.000,1737549844.778
354,27.344,-15.625,-15.137,350.098,0.000,1737549844.782
355,-62.500,-27.832,-21.973,-753.906,0.000,1737549844.786
356,-61.523,-28.809,-22.461,-430.176,0.000,1737549844.789
357,17.578,-23.438,-18.555,652.832,0.000,1737549844.793
358,14.160,-14.648,-25.391,999.512,0.000,1737549844.797
359,-35.645,-19.043,-29.785,533.691,0.000,1737549844.800
360,-54.199,-27.832,-26.367,-296.387,0.000,1737549844.807
361,-50.293,-24.414,-17.090,-55.176,0.000,1737549844.810
362,2.930,-1.465,-12.695,728.027,0.000,1737549844.814
363,53.223,-1.953,-13.184,999.512,0.000,1737549844.818
364,0.000,-21.484,-17.090,536.133,0.000,1737549844.822
365,-69.336,-35.156,-22.461,-614.746,0.000,1737549844.825
366,-55.176,-28.809,-30.762,-683.105,0.000,1737549844.829
367,22.461,-13.184,-29.785,263.672,0.000,1737549844.833
368,31.738,-13.184,-11.230,821.289,0.000,1737549844.836
369,-33.691,-9.277,-1.953,447.754,0.000,1737549844.840
370,-55.176,-10.742,-10.742,-497.559,0.000,1737549844.844
371,-57.617,-16.113,-17.578,-555.176,0.000,1737549844.847
372,-23.926,-17.090,-11.719,342.285,0.000,1737549844.854
373,26.855,-17.578,-16.113,973.633,0.000,1737549844.857
374,35.156,-17.090,-34.668,693.848,0.000,1737549844.861
375,-57.129,-34.180,-39.062,-535.645,0.000,1737549844.865
376,-94.238,-37.598,-28.320,-860.352,0.000,1737549844.869
377,-14.648,-20.996,-5.859,332.520,0.000,1737549844.872
378,34.180,-28.320,-1.465,999.512,0.000,1737549844.876
379,21.484,-28.320,-22.461,683.594,0.000,1737549844.880
380,-64.453,0.488,-23.438,-469.727,0.000,1737549844.883
381,-110.840,-5.859,-13.672,-1000.000,0.000,1737549844.887
382,-30.762,-28.809,-28.320,-263.184,0.000,1737549844.891
383,53.223,-20.020,-31.250,543.457,0.000,1737549844.895
384,41.504,-28.809,-14.648,512.207,0.000,1737549844.901
385,-63.965,-34.668,-0.977,-429.199,0.000,1737549844.904
386,-102.051,-13.184,-12.695,-1000.000,0.000,1737549844.908
387,-20.020,-11.719,-29.297,-479.492,0.000,1737549844.912
388,34.180,-12.695,-21.484,370.605,0.000,1737549844.915
